graph,emb,dim,param,exec_time,landmarks,model,iter,accuracy,precision,recall,fscore
sbm10k,n2v,30,9,10.45,-1,xgboost,8,0.9852,0.9850991271288124,0.9849101357292436,0.984940944614056
sbm10k,n2v,30,9,10.6,-1,xgboost,9,0.9808,0.9805081204821864,0.9807567892554928,0.9805103634002852
sbm10k,n2v,32,9,11.69,-1,xgboost,0,0.9812,0.9805991107984212,0.9808123175759887,0.9805873050029594
sbm10k,n2v,32,9,13.65,-1,xgboost,1,0.98,0.9790560818485352,0.9803092328792588,0.9795442335849264
sbm10k,n2v,32,9,11.81,-1,xgboost,2,0.9788,0.9786734903639216,0.978933808343315,0.9786529548695008
sbm10k,n2v,32,9,11.35,-1,xgboost,3,0.9764,0.9767962360122991,0.9760588438130404,0.9762791762363588
sbm10k,n2v,32,9,11.55,-1,xgboost,4,0.9804,0.980362327470936,0.9803178965415316,0.9802101310317364
sbm10k,n2v,32,9,11.42,-1,xgboost,5,0.9808,0.9802169760572104,0.9804869556932078,0.9802726369472444
sbm10k,n2v,32,9,11.56,-1,xgboost,6,0.9816,0.9815288851274974,0.9815915617824554,0.981450060782166
sbm10k,n2v,32,9,11.54,-1,xgboost,7,0.9772,0.9764931731602134,0.9765443293902984,0.9764470657357138
sbm10k,n2v,32,9,11.48,-1,xgboost,8,0.98,0.9793169280537484,0.97994888219859,0.979436348853461
sbm10k,n2v,32,9,11.54,-1,xgboost,9,0.9816,0.981509276446125,0.9814666237802224,0.981358200906654
sbm10k,n2v,2,0.11,6.57,-1,xgboost,0,0.1128,0.1099262812925736,0.1137522380343368,0.1092115449606604
sbm10k,n2v,2,0.11,6.78,-1,xgboost,1,0.1184,0.1103147351832709,0.1150371687571959,0.110245894558972
sbm10k,n2v,2,0.11,6.41,-1,xgboost,2,0.1148,0.1087728755830628,0.1142770589828341,0.1103541075972495
sbm10k,n2v,2,0.11,6.36,-1,xgboost,3,0.1292,0.1251283235280748,0.1296401881465015,0.1256523803015642
sbm10k,n2v,2,0.11,6.49,-1,xgboost,4,0.1144,0.1080014541218019,0.1139330085709593,0.1091361948526102
sbm10k,n2v,2,0.11,9.53,-1,xgboost,5,0.1252,0.121671497505962,0.1228997178229035,0.1205705886567083
sbm10k,n2v,2,0.11,6.31,-1,xgboost,6,0.1168,0.1101923677938516,0.1152416792761919,0.1108248982451077
sbm10k,n2v,2,0.11,6.52,-1,xgboost,7,0.1184,0.1115259605193693,0.118661105683641,0.1127003497864043
sbm10k,n2v,2,0.11,6.56,-1,xgboost,8,0.1032,0.0996402545182658,0.1030344027552901,0.0997375434132338
sbm10k,n2v,2,0.11,6.59,-1,xgboost,9,0.1168,0.1117384441854156,0.1168879082077602,0.112222394249402
sbm10k,n2v,4,0.11,6.79,-1,xgboost,0,0.6356,0.6316493606564966,0.6294438619592089,0.6281890494075582
sbm10k,n2v,4,0.11,7.33,-1,xgboost,1,0.6388,0.6353982855436828,0.6322043992926559,0.6322352993774841
