graph,emb,dim,param,exec_time,landmarks,best_alpha,best_div,best_div_ext,best_div_int,best_alpha_auc,best_auc,best_auc_err
email,hope,26,aa,14.24,210,7.25,0.0598863045218601,0.0,0.0,2.5,0.0963,0.0057820435184802
email,hope,28,ppr,14.36,210,10.0,0.148684951138017,0.0,0.0,4.5,0.1197,0.0063623637860153
email,hope,28,katz,14.02,210,6.0,0.0576730573140119,0.0,0.0,2.5,0.0847,0.0054573210997338
email,hope,28,aa,14.19,210,7.25,0.0597669142902866,0.0,0.0,3.0,0.0949999999999999,0.0057470127892671
email,hope,30,ppr,14.2,210,10.0,0.1487105840808185,0.0,0.0,10.0,0.1171999999999999,0.0063045056670289
email,hope,30,katz,14.1,210,6.75,0.0606652644627478,0.0,0.0,2.75,0.0919999999999999,0.0056649086276832
email,hope,30,aa,14.44,210,7.25,0.0574355432957984,0.0,0.0,3.0,0.0941999999999999,0.0057252925215747
email,hope,32,ppr,16.72,210,10.0,0.1486980658660517,0.0,0.0,7.75,0.1173999999999999,0.0063091678467449
email,hope,32,katz,15.15,210,6.75,0.0597075384210148,0.0,0.0,3.0,0.0907999999999999,0.0056315599168969
email,hope,32,aa,15.25,210,7.25,0.0563264628621424,0.0,0.0,2.5,0.0936,0.0057089198283388
email,n2v,2,1,15.65,210,10.0,0.0955591909378663,0.0,0.0,10.0,0.0694,0.0049810090486165
email,n2v,2,0.11,15.66,210,8.5,0.100577838572323,0.0,0.0,6.5,0.0749999999999999,0.0051624703388978
email,n2v,2,9,14.93,210,10.0,0.1110771564808141,0.0,0.0,10.0,0.0825,0.0053924494434347
email,n2v,4,1,15.33,210,10.0,0.090425174570212,0.0,0.0,10.0,0.0655,0.0048491584383272
email,n2v,4,0.11,14.77,210,10.0,0.0604113696131659,0.0,0.0,8.5,0.0586999999999999,0.0046072221272259
email,n2v,4,9,15.14,210,10.0,0.096801499719507,0.0,0.0,10.0,0.0707999999999999,0.0050272131661189
email,n2v,6,1,14.99,210,10.0,0.0803693989213644,0.0,0.0,10.0,0.0594,0.0046328877843522
