graph,emb,dim,param,exec_time,landmarks,model,clusters,iter,ami,apr
sbm10k,n2v,22,9,1.09,-1,kmeans,30,7,0.9967657902084904,0.9967714359200874
sbm10k,n2v,22,9,1.99,-1,kmeans,30,8,0.9967657902084904,0.9967714359200874
sbm10k,n2v,22,9,1.79,-1,kmeans,30,9,0.9967657902084904,0.9967714359200874
sbm10k,n2v,22,9,2.12,-1,kmeans,30,10,0.9858284558081936,0.9611046340885756
sbm10k,n2v,22,9,2.31,-1,kmeans,30,11,0.9967657902084908,0.9967714359200874
sbm10k,n2v,22,9,1.69,-1,kmeans,30,12,0.9967657902084908,0.9967714359200874
sbm10k,n2v,22,9,1.32,-1,kmeans,30,13,0.9967657902084904,0.9967714359200874
sbm10k,n2v,22,9,1.06,-1,kmeans,30,14,0.9967657902084904,0.9967714359200874
sbm10k,n2v,22,9,1.0,-1,kmeans,30,15,0.9967657902084904,0.9967714359200874
sbm10k,n2v,22,9,1.45,-1,kmeans,30,16,0.9860053687906224,0.9592840587366432
sbm10k,n2v,22,9,1.31,-1,kmeans,30,17,0.9967657902084904,0.9967714359200874
sbm10k,n2v,22,9,1.1,-1,kmeans,30,18,0.9967657902084904,0.9967714359200874
sbm10k,n2v,22,9,1.42,-1,kmeans,30,19,0.9846307610217055,0.956394179746868
sbm10k,n2v,24,9,1.25,-1,kmeans,30,0,0.997576380702209,0.9975918783692344
sbm10k,n2v,24,9,1.31,-1,kmeans,30,1,0.997576380702209,0.9975918783692344
sbm10k,n2v,24,9,0.92,-1,kmeans,30,2,0.997576380702209,0.9975918783692344
sbm10k,n2v,24,9,1.31,-1,kmeans,30,3,0.9973743175252344,0.9973906610168176
sbm10k,n2v,24,9,1.26,-1,kmeans,30,4,0.9875271211487716,0.961080863513508
sbm10k,n2v,24,9,1.47,-1,kmeans,30,5,0.9873562786294076,0.9600414922282202
sbm10k,n2v,24,9,1.14,-1,kmeans,30,6,0.98721534920993,0.9593577109077162
sbm10k,n2v,24,9,1.44,-1,kmeans,30,7,0.997576380702209,0.9975918783692344
sbm10k,n2v,24,9,1.56,-1,kmeans,30,8,0.9868398978464608,0.9599148017444628
sbm10k,n2v,24,9,1.6,-1,kmeans,30,9,0.9975763807022092,0.9975918783692344
sbm10k,n2v,24,9,1.4,-1,kmeans,30,10,0.9868276084814314,0.9592418506084716
sbm10k,n2v,24,9,1.17,-1,kmeans,30,11,0.9975763807022092,0.9975918783692344
sbm10k,n2v,24,9,1.37,-1,kmeans,30,12,0.997576380702209,0.9975918783692344
sbm10k,n2v,24,9,1.28,-1,kmeans,30,13,0.9973743175252344,0.9973906610168176
sbm10k,n2v,24,9,1.17,-1,kmeans,30,14,0.997576380702209,0.9975918783692344
sbm10k,n2v,24,9,1.39,-1,kmeans,30,15,0.9973743175252344,0.9973906610168176
sbm10k,n2v,24,9,1.37,-1,kmeans,30,16,0.9875955595173112,0.9610381867667318
sbm10k,n2v,24,9,1.38,-1,kmeans,30,17,0.997576380702209,0.9975918783692344
sbm10k,n2v,24,9,1.32,-1,kmeans,30,18,0.9975763807022088,0.9975918783692344
sbm10k,n2v,24,9,1.33,-1,kmeans,30,19,0.9973743175252344,0.9973906610168176
sbm10k,n2v,26,9,1.18,-1,kmeans,30,0,0.9884079628928284,0.9612255197328704
sbm10k,n2v,26,9,1.38,-1,kmeans,30,1,0.9885346556779272,0.9615534271276373
sbm10k,n2v,26,9,1.51,-1,kmeans,30,2,0.9985858312993876,0.9985921855069004
sbm10k,n2v,26,9,1.26,-1,kmeans,30,3,0.9985858312993878,0.9985921855069004
sbm10k,n2v,26,9,1.42,-1,kmeans,30,4,0.9985858312993876,0.9985921855069004
sbm10k,n2v,26,9,1.09,-1,kmeans,30,5,0.9985858312993876,0.9985921855069004
sbm10k,n2v,26,9,1.65,-1,kmeans,30,6,0.9985858312993876,0.9985921855069004
sbm10k,n2v,26,9,1.28,-1,kmeans,30,7,0.9985858312993876,0.9985921855069004
sbm10k,n2v,26,9,1.63,-1,kmeans,30,8,0.98845336519747,0.9601295452421982
sbm10k,n2v,26,9,1.37,-1,kmeans,30,9,0.9876370882096944,0.9588880647960846
sbm10k,n2v,26,9,1.37,-1,kmeans,30,10,0.9985858312993876,0.9985921855069004
sbm10k,n2v,26,9,1.34,-1,kmeans,30,11,0.9985858312993876,0.9985921855069004
sbm10k,n2v,26,9,1.2,-1,kmeans,30,12,0.9985858312993876,0.9985921855069004
sbm10k,n2v,26,9,1.28,-1,kmeans,30,13,0.9985858312993876,0.9985921855069004
sbm10k,n2v,26,9,1.08,-1,kmeans,30,14,0.9985858312993876,0.9985921855069004
sbm10k,n2v,26,9,1.32,-1,kmeans,30,15,0.9985858312993876,0.9985921855069004
sbm10k,n2v,26,9,1.55,-1,kmeans,30,16,0.9985858312993876,0.9985921855069004
sbm10k,n2v,26,9,1.47,-1,kmeans,30,17,0.9985858312993876,0.9985921855069004
sbm10k,n2v,26,9,1.53,-1,kmeans,30,18,0.9985858312993876,0.9985921855069004
sbm10k,n2v,26,9,1.28,-1,kmeans,30,19,0.9985858312993876,0.9985921855069004
sbm10k,n2v,28,9,1.28,-1,kmeans,30,0,0.9882433806400148,0.9615292261508476
sbm10k,n2v,28,9,1.41,-1,kmeans,30,1,0.9985860194309748,0.9985934266862156
sbm10k,n2v,28,9,1.57,-1,kmeans,30,2,0.9985860194309748,0.9985934266862156
sbm10k,n2v,28,9,1.43,-1,kmeans,30,3,0.9985860194309748,0.9985934266862156
sbm10k,n2v,28,9,1.37,-1,kmeans,30,4,0.9985860194309748,0.9985934266862156
sbm10k,n2v,28,9,1.09,-1,kmeans,30,5,0.998586019430975,0.9985934266862156
sbm10k,n2v,28,9,1.21,-1,kmeans,30,6,0.9985860194309748,0.9985934266862156
sbm10k,n2v,28,9,1.4,-1,kmeans,30,7,0.9985860194309748,0.9985934266862156
sbm10k,n2v,28,9,1.19,-1,kmeans,30,8,0.9985860194309748,0.9985934266862156
sbm10k,n2v,28,9,1.48,-1,kmeans,30,9,0.9985860194309748,0.9985934266862156
sbm10k,n2v,28,9,1.24,-1,kmeans,30,10,0.9985860194309748,0.9985934266862156
sbm10k,n2v,28,9,1.32,-1,kmeans,30,11,0.998586019430975,0.9985934266862156
sbm10k,n2v,28,9,1.35,-1,kmeans,30,12,0.998586019430975,0.9985934266862156
sbm10k,n2v,28,9,1.17,-1,kmeans,30,13,0.9985860194309748,0.9985934266862156
sbm10k,n2v,28,9,1.24,-1,kmeans,30,14,0.9985860194309748,0.9985934266862156
sbm10k,n2v,28,9,1.37,-1,kmeans,30,15,0.998586019430975,0.9985934266862156
sbm10k,n2v,28,9,1.29,-1,kmeans,30,16,0.9985860194309748,0.9985934266862156
sbm10k,n2v,28,9,1.19,-1,kmeans,30,17,0.998586019430975,0.9985934266862156
sbm10k,n2v,28,9,1.54,-1,kmeans,30,18,0.9872043957612764,0.9571269181734944
sbm10k,n2v,28,9,1.27,-1,kmeans,30,19,0.998586019430975,0.9985934266862156
sbm10k,n2v,30,9,1.32,-1,kmeans,30,0,0.998988942264479,0.9989875621668624
sbm10k,n2v,30,9,1.32,-1,kmeans,30,1,0.9989889422644788,0.9989875621668624
sbm10k,n2v,30,9,1.55,-1,kmeans,30,2,0.9989889422644792,0.9989875621668624
sbm10k,n2v,30,9,1.3,-1,kmeans,30,3,0.9989889422644788,0.9989875621668624
sbm10k,n2v,30,9,1.37,-1,kmeans,30,4,0.9989889422644788,0.9989875621668624
sbm10k,n2v,30,9,1.18,-1,kmeans,30,5,0.998988942264479,0.9989875621668624
sbm10k,n2v,30,9,1.41,-1,kmeans,30,6,0.9989889422644788,0.9989875621668624
sbm10k,n2v,30,9,1.49,-1,kmeans,30,7,0.998988942264479,0.9989875621668624
sbm10k,n2v,30,9,0.89,-1,kmeans,30,8,0.998988942264479,0.9989875621668624
